"id","clave","descripcion"
"catalogos_materiales_peligrosos126","0234","DINITRO-o-CRESOLATO SODICO seco o humedecido con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos127","0235","PICRAMATO DE SODIO seco o humedecido con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos128","0236","PICRAMATO DE CIRCONIO seco o humedecido con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos129","0237","CARGAS PERFILADAS DE DISEÑO FLEXIBLE ALINEADAS (MECHA DETONANTE PERFILADA FLEXIBLE) "
"catalogos_materiales_peligrosos130","0238","COHETES LANZACABOS"
"catalogos_materiales_peligrosos131","0240","COHETES LANZACABOS"
"catalogos_materiales_peligrosos132","0241","EXPLOSIVOS PARA VOLADURAS TIPO E"
"catalogos_materiales_peligrosos133","0242","CARGAS PROPULSORAS DE ARTILLERIA"
"catalogos_materiales_peligrosos134","0243","MUNICIONES INCENDIARIAS DE FOSFORO BLANCO con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos135","0244","MUNICIONES INCENDIARIAS DE FOSFORO BLANCO con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos136","0245","MUNICIONES FUMIGENAS CON FOSFORO BLANCO con carga dispersora carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos137","0246","MUNICIONES FUMIGENAS CON FOSFORO BLANCO con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos138","0247","MUNICIONES INCENDIARIAS en forma de líquido o de gel con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos139","0248","DISPOSITIVOS ACTIVADOS POR AGUA con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos140","0249","DISPOSITIVOS ACTIVADOS POR AGUA con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos141","0250","MOTORES DE COHETE CON LIQUIDOS HIPERGOLICOS con o sin carga expulsora"
"catalogos_materiales_peligrosos142","0254","MUNICIONES DE LUMINACIÓN con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos143","0255","DETONADORES ELECTRICOS para voladuras"
"catalogos_materiales_peligrosos144","0257","ESPOLETAS DETONANTES"
"catalogos_materiales_peligrosos145","0266","OCTOLITA (OCTOL) seca o humidificada con menos de 15% en masa de agua"
"catalogos_materiales_peligrosos146","0267","DETONADORES NO ELECTRICOS para voladuras"
"catalogos_materiales_peligrosos147","0268","PETARDOS MULTIPLICADORES CON DETONADOR"
"catalogos_materiales_peligrosos148","0271","CARGAS PROPULSORAS"
"catalogos_materiales_peligrosos149","0272","CARGAS PROPULSORAS"
"catalogos_materiales_peligrosos150","0275","CARTUCHOS DE ACCIONAMIENTO"
"catalogos_materiales_peligrosos151","0276","CARTUCHOS DE ACCIONAMIENTO"
"catalogos_materiales_peligrosos152","0277","CARTUCHOS PARA PERFORACIÓN DE  POZOS PETROLÍFEROS"
"catalogos_materiales_peligrosos153","0278","CARTUCHOS PARA PERFORACIÓN DE  POZOS PETROLÍFEROS"
"catalogos_materiales_peligrosos154","0279","CARGAS PROPULSORAS DE ARTILLERIA"
"catalogos_materiales_peligrosos155","0280","MOTORES DE COHETE"
"catalogos_materiales_peligrosos156","0281","MOTORES DE COHETE"
"catalogos_materiales_peligrosos157","0282","NITROGUANIDINA (PICRITA) seca o humedecida con menos de 20% en masa de agua"
"catalogos_materiales_peligrosos158","0283","PETARDOS MULTIPLICADORES (CARTUCHOS) sin detonador"
"catalogos_materiales_peligrosos159","0284","GRANADAS de mano o de fusil con carga explosiva"
"catalogos_materiales_peligrosos160","0285","GRANADAS de mano o de fusil con carga explosiva"
"catalogos_materiales_peligrosos161","0286","CABEZAS DE COMBATE PARA COHETES con carga explosiva"
"catalogos_materiales_peligrosos162","0287","CABEZAS DE COMBATE PARA COHETES con carga explosiva"
"catalogos_materiales_peligrosos163","0288","MECHA DETONANTE PERFILADA  FLEXIBLE"
"catalogos_materiales_peligrosos164","0289","MECHA DETONANTE flexible"
"catalogos_materiales_peligrosos165","0290","CORDON (MECHA) DETONANTE con recubrimiento metálico"
"catalogos_materiales_peligrosos166","0291","BOMBAS con carga explosiva"
"catalogos_materiales_peligrosos167","0292","GRANADAS de mano o de fusil con carga explosiva"
"catalogos_materiales_peligrosos168","0293","GRANADAS de mano o de fusil con carga explosiva"
"catalogos_materiales_peligrosos169","0294","MINAS con carga explosiva"
"catalogos_materiales_peligrosos170","0295","COHETES con carga explosiva"
"catalogos_materiales_peligrosos171","0296","CARGAS EXPLOSIVAS PARA SONDEOS "
"catalogos_materiales_peligrosos172","0297","MUNICIONES DE LUMINACIÓN con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos173","0299","BOMBAS DE LUMINACIÓN PARA FOTOGRAFIA"
"catalogos_materiales_peligrosos174","0300","MUNICIONES INCENDIARIAS con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos175","0301","MUNICIONES LACRIMOGENAS con carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos176","0303","MUNICIONES FUMIGENAS con o sin carga detonante carga expulsora o carga propulsora"
"catalogos_materiales_peligrosos177","0305","POLVORA DE DESTELLOS"
"catalogos_materiales_peligrosos178","0306","TRAZADORES PARA MUNICIONES"
"catalogos_materiales_peligrosos179","0312","CARTUCHOS DE SEÑALES"
"catalogos_materiales_peligrosos180","0313","SEÑALES FUMIGENAS"
"catalogos_materiales_peligrosos181","0314","ENCENDEDORES"
"catalogos_materiales_peligrosos182","0315","ENCENDEDORES"
"catalogos_materiales_peligrosos183","0316","ESPOLETAS DE IGNICION"
"catalogos_materiales_peligrosos184","0317","ESPOLETAS DE IGNICION"
"catalogos_materiales_peligrosos185","0318","GRANADAS DE EJERCICIOS de mano o de fusil"
"catalogos_materiales_peligrosos186","0319","CEBOS TUBULARES"
"catalogos_materiales_peligrosos187","0320","CEBOS TUBULARES"
"catalogos_materiales_peligrosos188","0321","CARTUCHOS PARA ARMAS con carga explosiva"
"catalogos_materiales_peligrosos189","0322","MOTORES DE COHETE CON LIQUIDOS HIPERGOLICOS con o sin carga expulsora"
"catalogos_materiales_peligrosos190","0323","CARTUCHOS DE ACCIONAMIENTO"
"catalogos_materiales_peligrosos191","0324","PROYECTILES con carga explosiva"
"catalogos_materiales_peligrosos192","0325","ENCENDEDORES"
"catalogos_materiales_peligrosos193","0326","CARTUCHOS PARA ARMAS SIN BALA"
"catalogos_materiales_peligrosos194","0327","CARTUCHOS PARA ARMAS SIN BALA o (CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE SIN BALA)"
"catalogos_materiales_peligrosos195","0328","CARTUCHOS PARA ARMAS CON PROYECTIL INERTE"
"catalogos_materiales_peligrosos196","0329","TORPEDOS con carga explosiva"
"catalogos_materiales_peligrosos197","0330","TORPEDOS con carga explosiva"
"catalogos_materiales_peligrosos198","0331","EXPLOSIVOS PARA VOLADURAS TIPO B"
"catalogos_materiales_peligrosos199","0332","EXPLOSIVOS PARA VOLADURAS TIPO E"
"catalogos_materiales_peligrosos200","0333","ARTIFICIOS DE PIROTECNIA"
"catalogos_materiales_peligrosos201","0334","ARTIFICIOS DE PIROTECNIA"
"catalogos_materiales_peligrosos202","0335","ARTIFICIOS DE PIROTECNIA"
"catalogos_materiales_peligrosos203","0336","ARTIFICIOS DE PIROTECNIA"
"catalogos_materiales_peligrosos204","0337","ARTIFICIOS DE PIROTECNIA"
"catalogos_materiales_peligrosos205","0338","CARTUCHOS PARA ARMAS SIN BALA o (CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE SIN BALA)"
"catalogos_materiales_peligrosos206","0339","CARTUCHOS PARA ARMAS CON PROYECTIL INERTE o CARTUCHOS PARA ARMAS DE PEQUEÑO CALIBRE"
"catalogos_materiales_peligrosos207","0340","NITROCELULOSA seca o humedecida con menos de 25% en masa de agua (o de alcohol)"
"catalogos_materiales_peligrosos208","0341","NITROCELULOSA sin modificar o plastificada con menos de 18% en masa de substancia plastificante"
"catalogos_materiales_peligrosos209","0342","NITROCELULOSA HUMEDECIDA con un mínimo de 25% en masa de alcohol"
"catalogos_materiales_peligrosos210","0343","NITROCELULOSA PLASTIFICADA con un mínimo de 18% en masa de substancia plastificante"
"catalogos_materiales_peligrosos211","0344","PROYECTILES con carga explosiva"
"catalogos_materiales_peligrosos212","0345","PROYECTILES inertes con trazador"
"catalogos_materiales_peligrosos213","0346","PROYECTILES con carga detonante o carga expulsora"
"catalogos_materiales_peligrosos214","0347","PROYECTILES con carga detonante o carga expulsora"
"catalogos_materiales_peligrosos215","0348","CARTUCHOS PARA ARMAS con carga explosiva"
"catalogos_materiales_peligrosos216","0349","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos217","0350","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos218","0351","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos219","0352","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos220","0353","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos221","0354","OBJETOS EXPLOSIVOS. N.E.P."
"catalogos_materiales_peligrosos222","0355","OBJETOS EXPLOSIVOS. N.E.P."
